FileID,Type-1,Type-2,Type-3,Type-4,ModelName
1,0,0.3,0.6,0,mistralai/codestral-22b-v0.1
2,0.6,0.3,0.05,0.0,mistralai/codestral-22b-v0.1
3,0,0,0,0.5,mistralai/codestral-22b-v0.1
4,0,0.5,0.8,0,mistralai/codestral-22b-v0.1
5,0,0.3,0.4,0,mistralai/codestral-22b-v0.1
6,0,0.35,0.45,0,mistralai/codestral-22b-v0.1
7,0,0,0.2,0,mistralai/codestral-22b-v0.1
8,0,0.3,0.7,0,mistralai/codestral-22b-v0.1
9,0,0.3,0.6,0,mistralai/codestral-22b-v0.1
10,0,0.3,0.2,0.0,mistralai/codestral-22b-v0.1
11,0,0.3,0,0.7,mistralai/codestral-22b-v0.1
12,0,0,0.2,0.15,mistralai/codestral-22b-v0.1
13,0,0.4,0.6,0,mistralai/codestral-22b-v0.1
14,0,0,0.4,0,mistralai/codestral-22b-v0.1
15,0,0,0.5,0,mistralai/codestral-22b-v0.1
16,0,0,0,0.5,mistralai/codestral-22b-v0.1
17,0,0.3,0.4,0,mistralai/codestral-22b-v0.1
18,0,0,0,0,mistralai/codestral-22b-v0.1
19,0,0.3,0.4,0,mistralai/codestral-22b-v0.1
20,0,0,0.25,0,mistralai/codestral-22b-v0.1
21,0,0,0,0.5,mistralai/codestral-22b-v0.1
22,0,0.4,0.2,0,mistralai/codestral-22b-v0.1
23,0.1,0,0.4,0.3,mistralai/codestral-22b-v0.1
24,0,0,0.4,0.6,mistralai/codestral-22b-v0.1
25,0,0.3,0.5,0.2,mistralai/codestral-22b-v0.1
26,0,0,0.6,0,mistralai/codestral-22b-v0.1
27,0,0.3,0.45,0,mistralai/codestral-22b-v0.1
28,0,0,0,0.7,mistralai/codestral-22b-v0.1
29,0,0.4,0,0.6,mistralai/codestral-22b-v0.1
30,0,0,0.1,0.9,mistralai/codestral-22b-v0.1
31,0,0.3,0.4,0.15,mistralai/codestral-22b-v0.1
32,0,0,0,0.6,mistralai/codestral-22b-v0.1
33,0,0.1,0.45,0,mistralai/codestral-22b-v0.1
34,0,0,0,0,mistralai/codestral-22b-v0.1
35,0,0,0,0.5,mistralai/codestral-22b-v0.1
36,0,0,0.6,0,mistralai/codestral-22b-v0.1
37,0,0,0,0,mistralai/codestral-22b-v0.1
38,0,0,0.4,0,mistralai/codestral-22b-v0.1
39,0,0,0,0,mistralai/codestral-22b-v0.1
40,0.3,0,0,0,mistralai/codestral-22b-v0.1
41,0,0,0,0,mistralai/codestral-22b-v0.1
42,0.2,0.3,0.4,0.0,mistralai/codestral-22b-v0.1
43,0,0,0.4,0.6,mistralai/codestral-22b-v0.1
44,0,0,0.2,0,mistralai/codestral-22b-v0.1
45,0,0,0,0,mistralai/codestral-22b-v0.1
46,0,0,0.1,0,mistralai/codestral-22b-v0.1
47,0,0,0.1,0,mistralai/codestral-22b-v0.1
48,0,0,0.4,0,mistralai/codestral-22b-v0.1
49,0,0,0,0,mistralai/codestral-22b-v0.1
50,0.4,0.15,0.3,0.15,mistralai/codestral-22b-v0.1
1,0,0,0,0,deepseek/deepseek-r1-0528-qwen3-8b
2,0.0,0.5,0.9,1.0,deepseek/deepseek-r1-0528-qwen3-8b
3,0,0,0,0.98,deepseek/deepseek-r1-0528-qwen3-8b
4,0.3,0.4,0.5,0.6,deepseek/deepseek-r1-0528-qwen3-8b
5,0,0.3,0.1,0.6,deepseek/deepseek-r1-0528-qwen3-8b
6,0.0,0.0,0.1,-1,deepseek/deepseek-r1-0528-qwen3-8b
7,0,0.3,0,0,deepseek/deepseek-r1-0528-qwen3-8b
8,0.35,0.41,0.56,0.79,deepseek/deepseek-r1-0528-qwen3-8b
9,0,0,0.495817692535,0.0,deepseek/deepseek-r1-0528-qwen3-8b
10,0,0,0,0.75,deepseek/deepseek-r1-0528-qwen3-8b
11,4,3,50,60,deepseek/deepseek-r1-0528-qwen3-8b
12,0.4,0.35,0.45,0.2,deepseek/deepseek-r1-0528-qwen3-8b
13,4,3,5,3.5,deepseek/deepseek-r1-0528-qwen3-8b
14,0,0,0.05,0,deepseek/deepseek-r1-0528-qwen3-8b
15,0.9,0.85,0.45,0,deepseek/deepseek-r1-0528-qwen3-8b
16,0.9,0.85,0.42,0.65,deepseek/deepseek-r1-0528-qwen3-8b
17,0.5,0.4,0.3,0.2,deepseek/deepseek-r1-0528-qwen3-8b
18,0,0,0,0,deepseek/deepseek-r1-0528-qwen3-8b
19,0,0,0.8,0,deepseek/deepseek-r1-0528-qwen3-8b
20,0.3,0.4,0.6,0,deepseek/deepseek-r1-0528-qwen3-8b
21,0,0,0,0,deepseek/deepseek-r1-0528-qwen3-8b
22,0,0,0,1,deepseek/deepseek-r1-0528-qwen3-8b
